Output:
Token                 Lexeme
---------             ----------
Keyword               while
Separator             (
Unknwon               fahr
Operator              >=
Unknwon               upper
Separator             )
Integer               195
Operator              =
Real                  5012.9
Separator             ;
Real                  9.0001
Unknwon               thing
Operator              <=
Real                  9.817181718181818181
Separator             (
Separator             )
Operator              +
Keyword               while
Separator             ;
Integer               1
