Output:
Token                 Lexeme
---------             --------
Keyword               for
Separator             (
Keyword               Integer
Identifier            i
Operator              =
Integer               0
Separator             ;
Identifier            i
Operator              <
Integer               5
Separator             ;
Identifier            i
Operator              +
Operator              +
Separator             )
Separator             {
Keyword               put
Identifier            i
Separator             ;
Separator             }
Keyword               if
Separator             (
Identifier            y
Operator              <
Integer               20
Separator             )
Separator             {
Keyword               Boolean
Identifier            isActive
Operator              =
Keyword               false
Separator             ;
Keyword               put
Identifier            isActive
Separator             ;
Separator             }
Keyword               real
Identifier            number
Operator              =
Real                  2.71
Separator             ;
Keyword               if
Separator             (
Identifier            number
Operator              >
Real                  2.0
Separator             )
Separator             {
Keyword               put
Identifier            number
Separator             ;
Separator             }
Keyword               while
Separator             (
Identifier            y
Operator              >=
Integer               10
Separator             )
Separator             {
Identifier            y
Operator              =
Identifier            y
Operator              -
Integer               1
Separator             ;
Keyword               put
Identifier            y
Separator             ;
Separator             }
Identifier            String
Identifier            str
Operator              =
Unknown               "Sample"
Separator             ;
Keyword               if
Separator             (
Identifier            str
Operator              !=
Unknown               ""
Separator             )
Separator             {
Keyword               put
Identifier            str
Separator             ;
Separator             }
Keyword               Integer
Unknown               a1b2
Separator             ;
Keyword               if
Separator             (
Unknown               a1b2
Operator              >
Real                  3.0
Separator             )
Separator             {
Unknown               a1b2
Operator              =
Integer               4
Separator             ;
Separator             }
Keyword               Boolean
Identifier            flag
Operator              =
Keyword               false
Separator             ;
Keyword               if
Separator             (
Identifier            flag
Operator              ==
Keyword               false
Separator             )
Separator             {
Keyword               put
Identifier            flag
Separator             ;
Separator             }
Keyword               Integer
Identifier            z
Operator              =
Integer               50
Separator             ;
Keyword               for
Separator             (
Keyword               Integer
Identifier            j
Operator              =
Integer               0
Separator             ;
Identifier            j
Operator              <
Integer               3
Separator             ;
Identifier            j
Operator              +
Operator              +
Separator             )
Separator             {
Keyword               put
Identifier            j
Separator             ;
Separator             }
Keyword               real
Identifier            pi
Operator              =
Real                  3.1415
Separator             ;
Keyword               if
Separator             (
Identifier            pi
Operator              <
Real                  3.2
Separator             )
Separator             {
Keyword               put
Identifier            pi
Separator             ;
Separator             }
Identifier            String
Identifier            greeting
Operator              =
Unknown               "Hello"
Separator             ;
Keyword               if
Separator             (
Identifier            greeting
Operator              ==
Unknown               "Hello"
Separator             )
Separator             {
Keyword               put
Identifier            greeting
Separator             ;
Separator             }
Keyword               Integer
Identifier            counter
Operator              =
Integer               0
Separator             ;
Keyword               while
Separator             (
Identifier            counter
Operator              <
Integer               5
Separator             )
Separator             {
Identifier            counter
Operator              +
Operator              +
Separator             ;
Keyword               put
Identifier            counter
Separator             ;
Separator             }
Keyword               Boolean
Identifier            check
Operator              =
Keyword               true
Separator             ;
Keyword               if
Separator             (
Identifier            check
Operator              ==
Keyword               true
Separator             )
Separator             {
Keyword               put
Identifier            check
Separator             ;
Separator             }
Keyword               if
Separator             (
Identifier            z
Operator              ==
Integer               50
Separator             )
Separator             {
Identifier            z
Operator              =
Identifier            z
Operator              +
Integer               1
Separator             ;
Keyword               put
Identifier            z
Separator             ;
Separator             }
Keyword               real
Identifier            euler
Operator              =
Real                  2.718
Separator             ;
Keyword               if
Separator             (
Identifier            euler
Operator              <
Integer               3
Separator             )
Separator             {
Keyword               put
Identifier            euler
Separator             ;
Separator             }
Identifier            String
Identifier            name
Operator              =
Unknown               "Code"
Separator             ;
Keyword               if
Separator             (
Identifier            name
Operator              ==
Unknown               "Code"
Separator             )
Separator             {
Keyword               put
Identifier            name
Separator             ;
Separator             }
Keyword               while
Separator             (
Unknown               a1b2
Operator              >
Integer               2
Separator             )
Separator             {
Unknown               a1b2
Operator              -
Operator              -
Separator             ;
Keyword               put
Unknown               a1b2
Separator             ;
Separator             }
Keyword               if
Separator             (
Identifier            counter
Operator              ==
Integer               5
Separator             )
Separator             {
Keyword               put
Unknown               "Done"
Separator             ;
Separator             }
Keyword               Integer
Identifier            x
Operator              =
Integer               100
Separator             ;
Keyword               while
Separator             (
Identifier            x
Operator              >
Integer               90
Separator             )
Separator             {
Identifier            x
Operator              -
Operator              -
Separator             ;
Keyword               put
Identifier            x
Separator             ;
Separator             }
Keyword               Boolean
Identifier            success
Operator              =
Keyword               true
Separator             ;
Keyword               if
Separator             (
Identifier            success
Separator             )
Separator             {
Keyword               put
Identifier            success
Separator             ;
Separator             }
Keyword               real
Identifier            gravity
Operator              =
Real                  9.81
Separator             ;
Keyword               if
Separator             (
Identifier            gravity
Operator              >
Integer               9
Separator             )
Separator             {
Keyword               put
Identifier            gravity
Separator             ;
Separator             }
Identifier            String
Identifier            result
Operator              =
Unknown               "Pass"
Separator             ;
Keyword               if
Separator             (
Identifier            result
Operator              ==
Unknown               "Pass"
Separator             )
Separator             {
Keyword               put
Identifier            result
Separator             ;
Separator             }
Keyword               Integer
Identifier            finalScore
Operator              =
Integer               99
Separator             ;
Keyword               if
Separator             (
Identifier            finalScore
Operator              >=
Integer               95
Separator             )
Separator             {
Keyword               put
Identifier            finalScore
Separator             ;
Separator             }
